MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2001-01-27,Werder Bremen,Munich 1860,1657.23,1642.3,1.0,9.0,7.0,9.0
2001-01-28,Hamburger SV,Hertha,1677.82,1657.58,3.0,0.0,3.0,4.0
2001-01-28,Bayer Leverkusen,VfB Stuttgart,1756.68,1642.12,3.0,4.0,6.0,4.0
2001-02-02,Munich 1860,Borussia Dortmund,1635.18,1695.81,6.0,7.0,9.0,13.0
2001-02-03,1. FC Koln,SC Freiburg,1649.5,1658.71,5.0,7.0,8.0,11.0
2001-02-03,VfL Bochum,Hertha,1560.37,1668.59,3.0,3.0,6.0,4.0
2001-02-03,Cottbus,Schalke 04,1550.11,1715.68,3.0,7.0,6.0,10.0
2001-02-03,VfB Stuttgart,Kaiserslautern,1635.79,1703.3,4.0,7.0,4.0,11.0
2001-02-03,Werder Bremen,Hamburger SV,1664.35,1666.81,4.0,0.0,7.0,3.0
2001-02-03,VfL Wolfsburg,Bayern Munich,1695.53,1841.12,4.0,9.0,10.0,13.0
2001-02-04,Hansa Rostock,Eintracht Frankfurt,1601.81,1586.52,3.0,0.0,3.0,0.0
2001-02-04,Unterhaching,Bayer Leverkusen,1606.08,1763.02,4.0,3.0,4.0,6.0
2001-02-09,Eintracht Frankfurt,Cottbus,1586.52,1550.11,3.0,6.0,3.0,6.0
2001-02-10,Bayern Munich,VfB Stuttgart,1841.12,1635.79,9.0,4.0,13.0,7.0
2001-02-10,Hamburger SV,VfL Bochum,1666.81,1560.37,0.0,0.0,3.0,3.0
2001-02-10,Hertha,VfL Wolfsburg,1668.59,1695.53,6.0,4.0,6.0,7.0
2001-02-10,Kaiserslautern,Unterhaching,1703.3,1606.08,4.0,1.0,8.0,4.0
2001-02-10,Bayer Leverkusen,1. FC Koln,1763.02,1649.5,6.0,4.0,9.0,5.0
2001-02-10,Schalke 04,Munich 1860,1715.68,1635.18,4.0,6.0,10.0,12.0
2001-02-11,Borussia Dortmund,Werder Bremen,1695.81,1664.35,6.0,7.0,10.0,7.0
2001-02-11,SC Freiburg,Hansa Rostock,1658.71,1601.81,7.0,0.0,13.0,3.0
2001-02-16,Munich 1860,Eintracht Frankfurt,1636.12,1606.59,3.0,6.0,9.0,6.0
2001-02-17,Cottbus,SC Freiburg,1562.03,1663.85,3.0,7.0,6.0,11.0
2001-02-17,Borussia Dortmund,Hamburger SV,1685.59,1664.65,4.0,3.0,8.0,3.0
2001-02-17,Hansa Rostock,Bayer Leverkusen,1591.23,1774.57,1.0,9.0,4.0,9.0
2001-02-17,Unterhaching,Bayern Munich,1592.12,1852.59,0.0,9.0,4.0,15.0
2001-02-17,Werder Bremen,Schalke 04,1675.29,1705.14,7.0,6.0,8.0,10.0
2001-02-17,VfL Wolfsburg,VfL Bochum,1700.27,1544.29,4.0,0.0,7.0,3.0
2001-02-18,1. FC Koln,Kaiserslautern,1634.53,1694.96,3.0,4.0,5.0,10.0
2001-02-18,VfB Stuttgart,Hertha,1649.5,1664.98,3.0,6.0,7.0,6.0
2001-02-23,Bayer Leverkusen,Cottbus,1774.57,1562.03,6.0,3.0,9.0,6.0
