Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA
2223,2022-10-01,RB Leipzig,VfL Bochum,4,0,H,17.0,2.0,9.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,1.22,6.5,12.0,1.25,7.21,11.05
2223,2022-10-01,SC Freiburg,FSV Mainz 05,2,1,H,13.0,17.0,6.0,7.0,5.0,5.0,2.0,4.0,0.0,0.0,2.1,3.6,3.4,2.13,3.66,3.57
2223,2022-10-01,Eintracht Frankfurt,Union Berlin,2,0,H,14.0,14.0,4.0,5.0,4.0,7.0,3.0,4.0,1.0,0.0,2.25,3.4,3.2,2.31,3.52,3.27
2223,2022-10-01,1. FC Koln,Borussia Dortmund,3,2,H,20.0,21.0,16.0,13.0,7.0,11.0,4.0,3.0,0.0,0.0,3.1,4.0,2.05,3.36,3.93,2.12
2223,2022-10-02,Hertha,TSG Hoffenheim,1,1,D,13.0,16.0,5.0,4.0,2.0,6.0,2.0,1.0,0.0,0.0,2.75,3.75,2.37,2.88,3.81,2.42
2223,2022-10-02,Schalke 04,FC Augsburg,2,3,A,16.0,11.0,5.0,5.0,8.0,4.0,2.0,6.0,0.0,1.0,1.95,3.8,3.6,1.99,3.75,3.95
2223,2022-10-07,TSG Hoffenheim,Werder Bremen,1,2,A,16.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.95,3.8,3.5,2.05,4.02,3.48
2223,2022-10-08,Borussia Dortmund,Bayern Munich,2,2,D,13.0,9.0,6.0,3.0,7.0,4.0,3.0,6.0,0.0,1.0,4.33,4.75,1.65,4.53,4.88,1.67
2223,2022-10-08,FSV Mainz 05,RB Leipzig,1,1,D,9.0,12.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,3.6,2.3,3.07,3.66,2.36
2223,2022-10-08,VfL Bochum,Eintracht Frankfurt,3,0,H,11.0,11.0,6.0,2.0,9.0,4.0,2.0,1.0,0.0,0.0,3.75,3.8,1.9,4.01,4.01,1.91
2223,2022-10-08,Bayer Leverkusen,Schalke 04,4,0,H,13.0,2.0,7.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.45,4.5,7.0,1.47,5.02,6.83
2223,2022-10-08,FC Augsburg,VfL Wolfsburg,1,1,D,18.0,12.0,5.0,7.0,11.0,5.0,5.0,3.0,0.0,0.0,2.9,3.4,2.4,3.04,3.43,2.49
2223,2022-10-09,Borussia Monchengladbach,1. FC Koln,5,2,H,13.0,5.0,6.0,3.0,7.0,4.0,2.0,3.0,0.0,1.0,1.95,3.75,3.6,2.02,4.05,3.57
2223,2022-10-09,Hertha,SC Freiburg,2,2,D,11.0,10.0,3.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,3.5,2.3,3.18,3.41,2.41
2223,2022-10-09,VfB Stuttgart,Union Berlin,0,1,A,9.0,7.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,0.0,2.55,3.1,2.9,2.65,3.25,2.97
2223,2022-10-14,Schalke 04,TSG Hoffenheim,0,3,A,14.0,18.0,2.0,7.0,4.0,5.0,2.0,2.0,0.0,0.0,3.6,3.8,1.95,3.72,3.87,2.02
2223,2022-10-15,RB Leipzig,Hertha,3,2,H,14.0,16.0,5.0,5.0,8.0,4.0,2.0,3.0,0.0,0.0,1.4,5.0,7.0,1.43,5.03,7.84
2223,2022-10-15,VfL Wolfsburg,Borussia Monchengladbach,2,2,D,16.0,10.0,4.0,5.0,7.0,6.0,3.0,3.0,0.0,0.0,2.62,3.5,2.6,2.69,3.66,2.65
2223,2022-10-15,Werder Bremen,FSV Mainz 05,0,2,A,14.0,11.0,4.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,2.37,3.6,2.87,2.38,3.68,3.02
2223,2022-10-15,VfB Stuttgart,VfL Bochum,4,1,H,16.0,14.0,7.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,1.65,4.0,5.25,1.68,4.03,5.5
2223,2022-10-15,Eintracht Frankfurt,Bayer Leverkusen,5,1,H,20.0,5.0,11.0,2.0,7.0,1.0,0.0,4.0,0.0,1.0,2.75,3.6,2.45,2.84,3.62,2.54
2223,2022-10-16,1. FC Koln,FC Augsburg,3,2,H,14.0,7.0,6.0,3.0,5.0,3.0,2.0,4.0,0.0,0.0,1.66,4.0,5.0,1.71,4.27,4.84
2223,2022-10-16,Union Berlin,Borussia Dortmund,2,0,H,14.0,13.0,5.0,6.0,5.0,8.0,1.0,2.0,0.0,0.0,2.9,3.5,2.37,3.06,3.51,2.44
2223,2022-10-16,Bayern Munich,SC Freiburg,5,0,H,18.0,6.0,8.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,1.25,6.5,9.0,1.29,6.13,10.79
2223,2022-10-21,FSV Mainz 05,1. FC Koln,5,0,H,15.0,6.0,7.0,2.0,5.0,4.0,1.0,5.0,0.0,1.0,2.15,3.5,3.25,2.19,3.59,3.47
2223,2022-10-22,Borussia Monchengladbach,Eintracht Frankfurt,1,3,A,8.0,16.0,3.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,2.3,3.75,2.87,2.42,3.77,2.9
